gene_number	group1	group2	group3	group4	group5	group6	group7	group8
gene_239	0.90226	1.00000	1.00000	0.90090	0.82781	0.88840	1.00000	1.00000	
gene_240	1.00000	0.85040	1.00000	1.00000	0.90580	1.00000	1.00000	0.90498	
gene_241	0.68358	1.00000	1.00000	0.90090	0.90580	0.26237	1.00000	1.00000	
gene_242	1.00000	1.00000	1.00000	1.00000	0.82781	1.00000	1.00000	1.00000	
gene_243	1.00000	1.00000	1.00000	1.00000	1.00000	0.66038	1.00000	1.00000	
gene_244	1.00000	0.42649	1.00000	1.00000	0.90580	0.61492	1.00000	1.00000	
gene_245	1.00000	1.00000	1.00000	0.90090	0.69979	0.70398	1.00000	1.00000	
gene_246	1.00000	1.00000	1.00000	1.00000	1.00000	0.90674	1.00000	0.90498	
gene_247	1.00000	1.00000	1.00000	1.00000	0.76220	0.82938	1.00000	1.00000	
gene_248	1.00000	1.00000	1.00000	1.00000	1.00000	0.70398	1.00000	0.90498	
gene_249	1.00000	1.00000	1.00000	1.00000	0.61087	1.00000	0.90323	0.82645	
gene_250	0.90226	1.00000	1.00000	1.00000	1.00000	0.70850	1.00000	1.00000	
gene_251	1.00000	1.00000	1.00000	0.90090	1.00000	1.00000	1.00000	1.00000	
gene_252	1.00000	0.88975	0.81818	1.00000	1.00000	1.00000	0.82353	0.90498	
gene_253	1.00000	1.00000	1.00000	1.00000	0.75472	0.70398	1.00000	0.90498	
gene_254	1.00000	1.00000	1.00000	1.00000	1.00000	0.70850	1.00000	1.00000	
gene_255	1.00000	1.00000	0.90000	1.00000	0.90580	0.61492	1.00000	0.82645	
gene_256	0.90226	1.00000	0.90000	1.00000	1.00000	0.53302	0.90323	1.00000	
gene_257	1.00000	1.00000	1.00000	1.00000	0.82781	1.00000	0.74286	1.00000	
gene_258	0.90226	1.00000	0.81818	1.00000	0.90580	0.70398	1.00000	0.82645	
gene_259	0.75472	1.00000	1.00000	1.00000	1.00000	0.61492	1.00000	0.82645	
gene_260	1.00000	1.00000	1.00000	1.00000	0.76220	0.84738	1.00000	1.00000	
gene_261	1.00000	1.00000	1.00000	1.00000	1.00000	0.65644	1.00000	0.90498	
gene_262	1.00000	1.00000	1.00000	0.90090	0.75472	0.94090	0.82353	0.93895	
gene_263	1.00000	1.00000	1.00000	1.00000	0.90580	0.82938	1.00000	1.00000	
gene_264	0.90226	1.00000	1.00000	1.00000	0.82781	0.61492	1.00000	1.00000	
gene_265	1.00000	1.00000	1.00000	1.00000	1.00000	0.82938	1.00000	1.00000	
gene_266	1.00000	1.00000	1.00000	1.00000	0.90580	0.54318	0.90323	1.00000	
gene_267	1.00000	0.70733	1.00000	1.00000	1.00000	0.82938	1.00000	0.90498	
gene_268	1.00000	0.73434	0.90000	1.00000	1.00000	0.70850	1.00000	0.75099	
gene_269	1.00000	1.00000	1.00000	1.00000	0.93987	0.90674	0.74286	0.90498	
gene_270	1.00000	1.00000	1.00000	1.00000	1.00000	0.82938	1.00000	0.82645	
gene_271	1.00000	1.00000	1.00000	1.00000	1.00000	0.76419	0.90323	0.90498	
gene_272	1.00000	0.54877	1.00000	0.90090	1.00000	0.90674	0.90323	1.00000	
gene_273	0.90226	0.94166	1.00000	0.90090	1.00000	1.00000	1.00000	0.93895	
gene_274	1.00000	1.00000	1.00000	1.00000	1.00000	0.48859	1.00000	1.00000	
gene_275	0.90226	1.00000	1.00000	1.00000	0.93987	0.54318	0.90323	0.76046	
gene_276	1.00000	0.20870	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	
gene_277	1.00000	1.00000	1.00000	1.00000	0.90580	0.66038	1.00000	0.76046	
gene_278	1.00000	1.00000	1.00000	0.90090	0.82781	1.00000	1.00000	0.82645	
gene_279	1.00000	1.00000	1.00000	1.00000	0.75472	0.70398	0.90323	1.00000	
gene_280	1.00000	1.00000	1.00000	1.00000	0.82781	0.50531	0.90323	1.00000	
gene_281	1.00000	0.68942	1.00000	1.00000	1.00000	0.41519	0.74286	1.00000	
gene_282	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	0.82645	
gene_283	1.00000	1.00000	1.00000	0.90090	1.00000	0.70850	0.90323	1.00000	
gene_284	1.00000	1.00000	1.00000	1.00000	1.00000	0.65644	1.00000	1.00000	
gene_285	1.00000	1.00000	1.00000	0.90090	0.90580	0.82938	1.00000	1.00000	
gene_286	0.90226	1.00000	1.00000	1.00000	1.00000	0.70398	1.00000	0.82645	
gene_287	0.75472	1.00000	1.00000	1.00000	0.90580	0.57834	1.00000	1.00000	
gene_288	1.00000	1.00000	1.00000	1.00000	0.93987	0.48643	1.00000	0.90498	
gene_289	1.00000	1.00000	1.00000	0.90090	1.00000	0.53302	1.00000	1.00000	
gene_290	0.90226	0.63920	1.00000	1.00000	0.76220	0.75893	1.00000	0.69610	
gene_291	0.73826	1.00000	1.00000	1.00000	0.69979	0.61492	1.00000	0.60127	
gene_292	1.00000	1.00000	1.00000	1.00000	1.00000	0.61492	0.90323	0.90498	
gene_293	0.82192	1.00000	0.90000	1.00000	1.00000	0.82938	1.00000	1.00000	
gene_294	1.00000	1.00000	1.00000	1.00000	0.61576	0.70850	1.00000	0.90498	
gene_295	1.00000	1.00000	1.00000	0.90090	0.82781	0.61492	0.90323	1.00000	
gene_296	1.00000	1.00000	1.00000	1.00000	0.69979	0.56393	0.90323	0.75099	
gene_297	1.00000	1.00000	1.00000	1.00000	1.00000	0.30497	1.00000	0.90498	
gene_298	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	0.82353	0.82645	
gene_299	0.90226	1.00000	1.00000	0.90090	1.00000	0.76419	1.00000	1.00000	
gene_300	1.00000	0.85040	1.00000	0.90090	1.00000	0.94090	1.00000	0.90498	
