gene_number	group1	group2	group3	group4	group5	group6	group7	group8
gene_260	1.00000	0.29660	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	
gene_261	1.00000	0.76570	1.00000	1.00000	0.57870	1.00000	1.00000	1.00000	
gene_262	1.00000	0.62035	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	
gene_263	1.00000	0.25825	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	
gene_264	1.00000	0.71023	1.00000	0.50251	1.00000	1.00000	1.00000	1.00000	
gene_265	1.00000	0.32038	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	
gene_266	1.00000	0.27610	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	
gene_267	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	
gene_268	1.00000	1.00000	1.00000	1.00000	0.26824	1.00000	1.00000	1.00000	
gene_269	1.00000	0.28091	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	
gene_270	1.00000	0.71023	1.00000	1.00000	0.61576	1.00000	1.00000	1.00000	
gene_271	1.00000	0.27610	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	
gene_272	1.00000	1.00000	1.00000	1.00000	0.61576	1.00000	1.00000	0.54348	
gene_273	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	
gene_274	1.00000	0.29660	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	
gene_275	1.00000	0.29660	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	
gene_276	1.00000	1.00000	1.00000	1.00000	1.00000	0.70850	1.00000	1.00000	
gene_277	1.00000	0.27610	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	
gene_278	1.00000	0.76570	1.00000	1.00000	1.00000	0.51929	1.00000	1.00000	
gene_279	1.00000	0.25825	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	
gene_280	1.00000	0.11761	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	
gene_281	1.00000	1.00000	1.00000	1.00000	0.26824	1.00000	1.00000	1.00000	
gene_282	1.00000	0.25825	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	
gene_283	1.00000	0.71023	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	
gene_284	1.00000	0.76570	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	
gene_285	1.00000	0.11761	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	
gene_286	1.00000	0.76570	1.00000	1.00000	0.51653	1.00000	1.00000	1.00000	
gene_287	1.00000	0.11761	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	
gene_288	1.00000	0.33363	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	
gene_289	1.00000	0.71023	1.00000	1.00000	0.51653	1.00000	1.00000	1.00000	
gene_290	1.00000	1.00000	1.00000	0.21429	1.00000	1.00000	1.00000	1.00000	
gene_291	1.00000	0.11761	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	
gene_292	1.00000	0.29660	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	
gene_293	1.00000	0.62035	1.00000	1.00000	0.61576	1.00000	1.00000	1.00000	
gene_294	1.00000	0.66225	1.00000	0.50251	1.00000	1.00000	1.00000	1.00000	
gene_295	1.00000	0.11761	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	
gene_296	1.00000	0.30791	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	
gene_297	1.00000	0.30215	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	
gene_298	1.00000	0.62035	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	
gene_299	1.00000	0.36402	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	
gene_300	1.00000	1.00000	1.00000	1.00000	0.61576	1.00000	1.00000	1.00000	
